"","Date","Count"
"1","2020/03/03",2
"2","2020/03/05",6
"3","2020/03/07",5
"4","2020/03/08",1
"5","2020/03/10",6
"6","2020/03/11",9
"7","2020/03/12",6
"8","2020/03/13",16
"9","2020/03/14",10
"10","2020/03/15",11
"11","2020/03/16",41
"12","2020/03/17",26
"13","2020/03/18",21
"14","2020/03/19",19
"15","2020/03/20",36
"16","2020/03/21",17
"17","2020/03/22",25
"18","2020/03/23",33
"19","2020/03/24",41
"20","2020/03/25",43
"21","2020/03/26",40
"22","2020/03/27",32
"23","2020/03/28",17
"24","2020/03/29",13
"25","2020/03/30",42
"26","2020/03/31",55
"27","2020/04/01",39
"28","2020/04/02",37
"29","2020/04/03",26
"30","2020/04/04",15
"31","2020/04/05",35
"32","2020/04/06",51
"33","2020/04/07",56
"34","2020/04/08",65
"35","2020/04/09",76
"36","2020/04/10",26
"37","2020/04/11",23
"38","2020/04/12",18
"39","2020/04/13",33
"40","2020/04/14",46
"41","2020/04/15",52
"42","2020/04/16",31
"43","2020/04/17",42
"44","2020/04/18",14
"45","2020/04/19",32
"46","2020/04/20",37
"47","2020/04/21",31
"48","2020/04/22",32
"49","2020/04/23",46
"50","2020/04/24",36
"51","2020/04/25",50
"52","2020/04/26",32
"53","2020/04/27",36
"54","2020/04/28",72
"55","2020/04/29",49
"56","2020/04/30",38
"57","2020/05/01",34
"58","2020/05/02",45
"59","2020/05/03",11
"60","2020/05/04",44
"61","2020/05/05",44
"62","2020/05/06",42
"63","2020/05/07",29
"64","2020/05/08",28
"65","2020/05/09",7
"66","2020/05/10",5
"67","2020/05/11",29
"68","2020/05/12",51
"69","2020/05/13",32
"70","2020/05/14",35
"71","2020/05/15",34
"72","2020/05/16",8
"73","2020/05/17",10
"74","2020/05/18",44
"75","2020/05/19",31
"76","2020/05/20",42
"77","2020/05/21",24
"78","2020/05/22",32
"79","2020/05/23",17
"80","2020/05/24",11
"81","2020/05/25",9
"82","2020/05/26",47
"83","2020/05/27",34
"84","2020/05/28",23
"85","2020/05/29",30
"86","2020/05/30",22
"87","2020/05/31",25
"88","2020/06/01",38
"89","2020/06/02",45
"90","2020/06/03",27
"91","2020/06/04",38
"92","2020/06/05",29
"93","2020/06/06",16
"94","2020/06/07",18
"95","2020/06/08",35
"96","2020/06/09",33
"97","2020/06/10",19
"98","2020/06/11",23
"99","2020/06/12",27
"100","2020/06/13",20
"101","2020/06/14",15
"102","2020/06/15",35
"103","2020/06/16",48
"104","2020/06/17",51
"105","2020/06/18",45
"106","2020/06/19",43
"107","2020/06/20",41
"108","2020/06/21",32
"109","2020/06/22",105
"110","2020/06/23",79
"111","2020/06/24",61
"112","2020/06/25",66
"113","2020/06/26",69
"114","2020/06/27",51
"115","2020/06/28",36
"116","2020/06/29",72
"117","2020/06/30",98
"118","2020/07/01",78
"119","2020/07/02",103
"120","2020/07/03",80
"121","2020/07/04",27
"122","2020/07/05",50
"123","2020/07/06",86
"124","2020/07/07",100
"125","2020/07/08",111
"126","2020/07/09",107
"127","2020/07/10",130
"128","2020/07/11",67
"129","2020/07/12",67
"130","2020/07/13",139
"131","2020/07/14",161
"132","2020/07/15",154
"133","2020/07/16",146
"134","2020/07/17",155
"135","2020/07/18",80
"136","2020/07/19",74
"137","2020/07/20",146
"138","2020/07/21",128
"139","2020/07/22",127
"140","2020/07/23",122
"141","2020/07/24",120
"142","2020/07/25",79
"143","2020/07/26",59
"144","2020/07/27",92
"145","2020/07/28",96
"146","2020/07/29",137
"147","2020/07/30",126
"148","2020/07/31",115
"149","2020/08/01",66
"150","2020/08/02",45
"151","2020/08/03",105
"152","2020/08/04",83
"153","2020/08/05",132
"154","2020/08/06",100
"155","2020/08/07",130
"156","2020/08/08",61
"157","2020/08/09",60
"158","2020/08/10",103
"159","2020/08/11",106
"160","2020/08/12",134
"161","2020/08/13",103
"162","2020/08/14",108
"163","2020/08/15",66
"164","2020/08/16",38
"165","2020/08/17",81
"166","2020/08/18",81
"167","2020/08/19",97
"168","2020/08/20",85
